iter	Passed	Remaining
1279	15355	44626
1280	15365	44609
1281	15378	44601
1282	15390	44587
1283	15401	44572
1284	15413	44561
1285	15427	44554
1286	15438	44540
1287	15448	44523
1288	15461	44514
1289	15472	44497
1290	15482	44481
1291	15510	44516
1292	15521	44498
1293	15531	44481
1294	15544	44473
1295	15557	44463
1296	15568	44447
1297	15579	44433
1298	15592	44424
1299	15604	44414
1300	15615	44398
1301	15627	44385
1302	15640	44378
1303	15651	44362
1304	15663	44348
1305	15675	44338
1306	15687	44324
1307	15697	44307
1308	15708	44294
1309	15721	44283
1310	15731	44265
1311	15743	44254
1312	15756	44246
1313	15769	44234
1314	15779	44219
1315	15791	44207
1316	15803	44195
1317	15814	44179
1318	15826	44167
1319	15839	44158
1320	15851	44146
1321	15863	44135
1322	15875	44122
1323	15887	44111
1324	15897	44094
1325	15909	44081
1326	15923	44073
1327	15934	44061
1328	15945	44045
1329	15957	44032
1330	15969	44021
1331	15980	44005
1332	15991	43991
1333	16004	43983
1334	16017	43973
1335	16028	43957
1336	16039	43944
1337	16052	43934
1338	16064	43921
1339	16073	43903
1340	16085	43890
1341	16096	43875
1342	16106	43859
1343	16119	43848
1344	16132	43838
1345	16149	43840
1346	16162	43832
1347	16174	43820
1348	16188	43812
1349	16201	43804
1350	16213	43792
1351	16225	43779
1352	16236	43766
1353	16247	43750
1354	16258	43734
1355	16270	43723
1356	16282	43710
1357	16295	43702
1358	16306	43687
1359	16319	43677
1360	16333	43671
1361	16345	43660
1362	16356	43644
1363	16368	43632
1364	16381	43624
1365	16393	43611
1366	16403	43595
1367	16416	43586
1368	16429	43575
1369	16440	43560
1370	16451	43547
1371	16466	43542
1372	16478	43530
1373	16489	43515
1374	16500	43501
1375	16513	43493
1376	16525	43479
1377	16537	43467
1378	16549	43455
1379	16562	43445
1380	16573	43431
1381	16584	43417
1382	16597	43409
1383	16611	43402
1384	16621	43385
1385	16634	43374
1386	16647	43366
1387	16660	43356
1388	16671	43341
1389	16682	43327
1390	16696	43318
1391	16708	43308
1392	16719	43293
1393	16731	43282
1394	16744	43272
1395	16757	43262
1396	16768	43246
1397	16780	43235
1398	16793	43227
1399	16804	43210
1400	16815	43196
1401	16828	43188
1402	16841	43178
1403	16851	43162
1404	16863	43150
1405	16876	43139
1406	16890	43132
1407	16900	43115
1408	16912	43104
1409	16926	43097
1410	16938	43084
1411	16948	43068
1412	16959	43053
1413	16970	43039
1414	16982	43025
1415	16994	43014
1416	17007	43004
1417	17018	42990
1418	17028	42974
1419	17040	42961
1420	17053	42952
1421	17064	42937
1422	17076	42925
1423	17088	42913
1424	17099	42898
1425	17110	42884
1426	17124	42876
1427	17138	42869
1428	17148	42854
1429	17159	42839
1430	17171	42826
1431	17181	42810
1432	17193	42797
1433	17206	42787
1434	17218	42776
1435	17228	42760
1436	17240	42746
1437	17253	42738
1438	17263	42721
1439	17275	42708
1440	17286	42695
1441	17297	42680
1442	17308	42666
1443	17322	42658
1444	17336	42651
1445	17346	42634
1446	17357	42620
1447	17370	42609
1448	17380	42593
1449	17391	42578
1450	17403	42567
1451	17415	42556
1452	17426	42540
1453	17438	42528
1454	17452	42520
1455	17462	42505
1456	17473	42490
1457	17486	42481
1458	17499	42472
1459	17510	42456
1460	17522	42445
1461	17536	42438
1462	17548	42426
1463	17558	42410
1464	17570	42396
1465	17584	42388
1466	17598	42382
1467	17608	42365
1468	17620	42354
1469	17634	42346
1470	17645	42332
1471	17656	42317
1472	17669	42307
1473	17683	42300
1474	17695	42289
1475	17705	42272
1476	17717	42260
1477	17729	42249
1478	17740	42233
1479	17751	42220
1480	17765	42211
1481	17778	42201
1482	17788	42186
1483	17801	42175
1484	17814	42167
1485	17826	42155
1486	17837	42141
1487	17850	42131
1488	17862	42120
1489	17873	42104
1490	17884	42090
1491	17896	42079
1492	17909	42067
1493	17919	42053
1494	17932	42041
1495	17944	42029
1496	17954	42014
1497	17966	42001
1498	17979	41993
1499	17991	41979
1500	18001	41963
1501	18014	41952
1502	18026	41941
1503	18036	41926
1504	18049	41914
1505	18062	41907
1506	18076	41899
1507	18087	41883
1508	18098	41869
1509	18119	41878
1510	18133	41871
1511	18145	41859
1512	18156	41845
1513	18167	41830
1514	18179	41818
1515	18192	41810
1516	18202	41793
1517	18214	41780
1518	18226	41768
1519	18236	41753
1520	18249	41742
1521	18260	41729
1522	18273	41718
1523	18287	41710
1524	18297	41695
1525	18312	41688
1526	18325	41679
1527	18336	41664
1528	18346	41649
1529	18360	41641
1530	18373	41631
1531	18383	41615
1532	18394	41600
1533	18407	41590
1534	18417	41575
1535	18429	41563
1536	18442	41551
1537	18454	41540
1538	18465	41526
1539	18477	41513
1540	18488	41500
1541	18502	41491
1542	18514	41479
1543	18526	41467
1544	18539	41458
1545	18551	41446
1546	18561	41429
1547	18573	41418
1548	18585	41405
1549	18595	41390
1550	18606	41376
1551	18618	41364
1552	18630	41350
1553	18641	41338
1554	18654	41328
1555	18668	41319
1556	18680	41307
1557	18692	41295
1558	18706	41287
1559	18719	41278
1560	18732	41269
1561	18743	41254
1562	18754	41240
1563	18765	41227
1564	18777	41214
1565	18789	41202
1566	18802	41193
1567	18812	41177
1568	18823	41161
1569	18835	41149
1570	18846	41136
1571	18856	41120
1572	18870	41112
1573	18882	41100
1574	18893	41085
1575	18904	41072
1576	18918	41063
1577	18930	41051
1578	18941	41037
1579	18952	41024
1580	18964	41011
1581	18975	40997
1582	18986	40983
1583	19000	40975
1584	19013	40965
1585	19023	40950
1586	19034	40936
1587	19046	40923
1588	19057	40908
1589	19067	40893
1590	19080	40883
1591	19090	40868
1592	19116	40885
1593	19129	40875
1594	19140	40860
1595	19151	40847
1596	19165	40839
1597	19179	40831
1598	19190	40817
1599	19202	40805
1600	19215	40795
1601	19226	40782
1602	19238	40768
1603	19250	40757
1604	19264	40748
1605	19276	40737
1606	19288	40725
1607	19300	40713
1608	19314	40705
1609	19328	40698
1610	19339	40683
1611	19351	40670
1612	19363	40659
1613	19377	40652
1614	19389	40639
1615	19400	40625
1616	19413	40616
1617	19426	40605
1618	19436	40590
1619	19447	40575
1620	19458	40562
1621	19469	40546
1622	19481	40534
1623	19493	40523
1624	19505	40512
1625	19516	40498
1626	19528	40485
1627	19540	40474
1628	19551	40458
1629	19562	40445
1630	19576	40438
1631	19589	40426
1632	19599	40411
1633	19611	40398
1634	19623	40387
1635	19633	40371
1636	19644	40357
1637	19658	40348
1638	19670	40336
1639	19683	40327
1640	19698	40320
1641	19711	40311
1642	19726	40304
1643	19738	40293
1644	19749	40279
1645	19761	40267
1646	19773	40256
1647	19785	40242
1648	19795	40226
1649	19808	40217
1650	19823	40210
1651	19833	40195
1652	19844	40180
1653	19857	40170
1654	19868	40157
1655	19878	40140
1656	19891	40131
1657	19904	40120
1658	19914	40105
1659	19926	40093
1660	19940	40084
1661	19953	40074
1662	19964	40060
1663	19975	40047
1664	19986	40033
1665	19996	40017
1666	20008	40005
1667	20020	39993
